COMID,terminal_COMID
1737094,1737130
1737098,1737130
1737130,1737130
1737074,1737130
1736240,1737130
1737066,1737130
1736288,1737130
1736168,1737130
166173477,1737130
166173478,1737130
1736116,1737130
1736080,1737130
1736072,1737130
1736040,1737130
1736038,1737130
1736020,1737130
1736018,1737130
1736006,1737130
1736002,1737130
1736238,1737130
1737072,1737130
1743098,1737130
1736676,1737130
1736672,1737130
1736166,1737130
1736146,1737130
1736124,1737130
1737020,1737130
1736088,1737130
1736152,1737130
1736678,1737130
1737102,1737130
1737100,1737130
1736270,1737130
1737096,1737130
1737092,1737130
1743100,1737130
1736192,1737130
1736190,1737130
1736106,1737130
1736188,1737130
1736662,1737130
1736126,1737130
1736202,1737130
1736244,1737130
1736252,1737130
1736172,1737130
1736180,1737130
1736170,1737130
1736142,1737130
1737190,1737130
1736210,1737130
1736114,1737130
1736140,1737130
1736204,1737130
1736216,1737130
1736266,1737130
1736278,1737130
1736232,1737130
1736208,1737130
1736182,1737130
1736154,1737130
1736184,1737130
1736102,1737130
1736070,1737130
1736056,1737130
1736032,1737130
1736026,1737130
1736966,1737130
1736964,1737130
1737184,1737130
1736010,1737130
1735958,1737130
1736896,1737130
1735952,1737130
1735956,1737130
1735974,1737130
1736022,1737130
1735978,1737130
1735986,1737130
1735988,1737130
1735964,1737130
1736000,1737130
1736042,1737130
1736074,1737130
1736052,1737130
1735972,1737130
1736054,1737130
1736050,1737130
1737186,1737130
1736048,1737130
1736100,1737130
1736096,1737130
1736118,1737130
1736226,1737130
1736228,1737130
1736268,1737130
1737194,1737130
1738542,1737130
1736310,1737130
1736302,1737130
1736300,1737130
1736364,1737130
1737146,1737130
1737296,1737130
1736392,1737130
1736402,1737130
1736376,1737130
1736370,1737130
1736368,1737130
1736372,1737130
1738544,1737130
1736398,1737130
1738540,1737130
1736404,1737130
1736400,1737130
1736380,1737130
1736344,1737130
1736316,1737130
1736306,1737130
1736314,1737130
1736336,1737130
1736348,1737130
1736358,1737130
1736360,1737130
1736362,1737130
1736346,1737130
1736322,1737130
1736334,1737130
1736308,1737130
